Mo-Yr,Labor Force in K,Employment in K,Emp/Pop  percent,Unemployed  in K,Unemp Rate percent,LFPART percent
1976-01-01,3114,2768.6,48.6,345.4,11.1,54.7
1976-02-01,3113.3,2768.5,48.6,344.8,11.1,54.7
1976-03-01,3112.7,2768.6,48.7,344.1,11.1,54.7
1976-04-01,3112.2,2768.2,48.7,344.1,11.1,54.7
1976-05-01,3112.8,2767.7,48.7,345.1,11.1,54.7
1976-06-01,3112.4,2766.3,48.7,346.1,11.1,54.7
1976-07-01,3109.5,2762.9,48.6,346.5,11.1,54.7
1976-08-01,3104.5,2758.3,48.6,346.2,11.2,54.7
1976-09-01,3096.9,2752.6,48.5,344.2,11.1,54.6
1976-10-01,3088,2747.1,48.5,340.9,11,54.5
1976-11-01,3080,2742.8,48.5,337.1,10.9,54.4
1976-12-01,3073.8,2740.9,48.5,332.9,10.8,54.4
1977-01-01,3069.8,2741.5,48.5,328.3,10.7,54.3
1977-02-01,3066.3,2743.5,48.6,322.8,10.5,54.3
1977-03-01,3061.4,2745.2,48.7,316.3,10.3,54.3
1977-04-01,3056.4,2746.4,48.8,310.1,10.1,54.3
1977-05-01,3052.8,2747.1,48.8,305.7,10,54.3
1977-06-01,3051.6,2747.6,48.9,304,10,54.3
1977-07-01,3052.7,2747.9,48.9,304.8,10,54.4
1977-08-01,3055.4,2748.8,49,306.6,10,54.5
1977-09-01,3058.7,2750.3,49.1,308.4,10.1,54.6
1977-10-01,3060.8,2752,49.1,308.8,10.1,54.7
1977-11-01,3060.8,2754,49.2,306.8,10,54.7
1977-12-01,3059.2,2756.2,49.3,303,9.9,54.7
1978-01-01,3056.9,2759,49.4,297.9,9.7,54.7
1978-02-01,3054.1,2762.2,49.5,292,9.6,54.7
1978-03-01,3051.2,2765.2,49.6,286,9.4,54.7
1978-04-01,3048,2767.7,49.7,280.3,9.2,54.7
1978-05-01,3045.2,2769.6,49.7,275.7,9.1,54.7
1978-06-01,3043.5,2771.5,49.8,272,8.9,54.7
1978-07-01,3043.7,2774,49.9,269.7,8.9,54.8
1978-08-01,3046.2,2777.5,50,268.7,8.8,54.8
1978-09-01,3050,2781.8,50.1,268.2,8.8,54.9
1978-10-01,3054.5,2786.5,50.2,268,8.8,55.1
1978-11-01,3058.4,2790.7,50.3,267.7,8.8,55.2
1978-12-01,3060.4,2793.1,50.4,267.2,8.7,55.2
1979-01-01,3060.1,2793.3,50.4,266.8,8.7,55.2
1979-02-01,3059.1,2792.1,50.4,267,8.7,55.3
1979-03-01,3059.2,2791,50.4,268.2,8.8,55.3
1979-04-01,3061.3,2790.8,50.5,270.5,8.8,55.4
1979-05-01,3065.4,2792.2,50.5,273.2,8.9,55.5
1979-06-01,3069.8,2794.4,50.6,275.4,9,55.6
1979-07-01,3072.6,2796.8,50.7,275.9,9,55.7
1979-08-01,3073.1,2798.9,50.7,274.3,8.9,55.7
1979-09-01,3072,2800.4,50.7,271.6,8.8,55.7
1979-10-01,3069.3,2801.5,50.8,267.7,8.7,55.6
1979-11-01,3065,2801.8,50.8,263.2,8.6,55.6
1979-12-01,3060.4,2800.8,50.8,259.6,8.5,55.5
1980-01-01,3056.3,2798.5,50.7,257.8,8.4,55.4
1980-02-01,3052.6,2795.1,50.7,257.4,8.4,55.4
1980-03-01,3049.5,2791.4,50.6,258.1,8.5,55.3
1980-04-01,3046.8,2787.9,50.6,258.8,8.5,55.3
1980-05-01,3044.6,2785.4,50.5,259.1,8.5,55.2
1980-06-01,3043.9,2784.7,50.4,259.2,8.5,55.1
1980-07-01,3044.9,2785.7,50.4,259.2,8.5,55.1
1980-08-01,3046.8,2787.9,50.4,258.9,8.5,55.1
1980-09-01,3049.2,2790.4,50.4,258.8,8.5,55.1
1980-10-01,3053.3,2792.7,50.5,260.6,8.5,55.2
1980-11-01,3060.3,2795.6,50.5,264.7,8.6,55.3
1980-12-01,3070.6,2800.5,50.5,270,8.8,55.4
1981-01-01,3082.8,2806.8,50.6,276.1,9,55.6
1981-02-01,3094.8,2813.2,50.7,281.6,9.1,55.8
1981-03-01,3103.4,2818.8,50.8,284.6,9.2,55.9
1981-04-01,3106.5,2822.9,50.8,283.6,9.1,55.9
1981-05-01,3103.5,2824.9,50.8,278.7,9,55.8
1981-06-01,3096.3,2824.7,50.8,271.6,8.8,55.7
1981-07-01,3088.5,2822.8,50.7,265.7,8.6,55.5
1981-08-01,3082.8,2819.6,50.6,263.1,8.5,55.4
1981-09-01,3080.4,2816,50.5,264.4,8.6,55.3
1981-10-01,3081.2,2812.4,50.4,268.8,8.7,55.3
1981-11-01,3083.5,2808.8,50.3,274.7,8.9,55.3
1981-12-01,3085.5,2805.2,50.3,280.3,9.1,55.3
1982-01-01,3086.3,2802.4,50.2,283.9,9.2,55.3
1982-02-01,3085.8,2800.4,50.1,285.4,9.2,55.2
1982-03-01,3084.3,2798.4,50,285.8,9.3,55.2
1982-04-01,3082.1,2796,50,286.1,9.3,55.1
1982-05-01,3079.4,2792.8,49.9,286.6,9.3,55
1982-06-01,3075.9,2788.6,49.8,287.4,9.3,54.9
1982-07-01,3072.3,2783.3,49.7,288.9,9.4,54.8
1982-08-01,3069.4,2777.7,49.5,291.7,9.5,54.7
1982-09-01,3067.7,2772.2,49.4,295.5,9.6,54.6
1982-10-01,3066.1,2766.6,49.2,299.5,9.8,54.5
1982-11-01,3064.2,2761.4,49.1,302.8,9.9,54.5
1982-12-01,3061,2756.5,48.9,304.5,9.9,54.3
1983-01-01,3056.7,2752.3,48.8,304.4,10,54.2
1983-02-01,3052.7,2749.8,48.7,302.9,9.9,54.1
