Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
All Downtown,Manhattan,submarket,1400000.0,1395000.0,1325000.0,1295000.0,1275000.0,1225000.0,1188000.0,1140000.0,1099000.0,1100000.0,1099000.0,1115000.0,1095000.0,1095000.0,1095000.0,1092500.0,1065000.0,1065000.0,1057500.0,1049500.0,1095000.0,1120000.0,1150000.0,1150000.0,1162500.0,1195000.0,1175000.0,1195000.0,1250000.0,1199000.0,1150000.0,1172000.0,1275000.0,1275000.0,1295000.0,1325000.0,1350000.0,1338000.0,1495000.0,1499000.0,1525000.0,1600000.0,1675000.0,1675000.0,1750000.0,1807000.0,1900000.0,2005350.0,1978200.0,1897500.0,1900000.0,1995000.0,2010000.0,2199000.0,2210562.5,2325000.0,2400000.0,2445312.5,2603437.5,2975000.0,2950000.0,2850000.0,2824000.0,2736944.0,2747500.0,2795000.0,2821500.0,2895000.0,2850000.0,2775000.0,2875000.0,2999000.0,2950000.0,2750000.0,2692500.0,2585000.0,2580000.0,2500000.0,2500000.0,2500000.0,2449000.0,2350000.0,2397000.0,2500000.0,2500000.0,2495000.0,2375000.0,2400000.0,2400000.0,2345000.0,2347000.0,2355000.0,2325000.0,2395000.0,2395000.0,2450000.0,2395000.0,2280000.0
All Midtown,Manhattan,submarket,895000.0,885000.0,899000.0,895000.0,885000.0,892500.0,875000.0,875000.0,845000.0,857000.0,845750.0,850000.0,870000.0,850000.0,850000.0,840000.0,840000.0,823000.0,825000.0,840000.0,855000.0,850000.0,865000.0,879500.0,895000.0,899000.0,895000.0,895000.0,915000.0,920000.0,925000.0,950000.0,950000.0,960000.0,960000.0,950000.0,920000.0,935000.0,960000.0,935000.0,899000.0,895000.0,881250.0,917000.0,899000.0,899000.0,920000.0,995000.0,999000.0,999000.0,995000.0,1025000.0,1085000.0,1100000.0,1134000.0,1195000.0,1250000.0,1250000.0,1295000.0,1325000.0,1325000.0,1300000.0,1350000.0,1339000.0,1399000.0,1375000.0,1429500.0,1499000.0,1499000.0,1500000.0,1500000.0,1567500.0,1500000.0,1452500.0,1405000.0,1439000.0,1450000.0,1469000.0,1495000.0,1500000.0,1480000.0,1475000.0,1492500.0,1577500.0,1562000.0,1585000.0,1499000.0,1462500.0,1470000.0,1465000.0,1475000.0,1425000.0,1399000.0,1450000.0,1495000.0,1499499.5,1495000.0,1498500.0
All Upper East Side,Manhattan,submarket,1200000.0,1195000.0,1185000.0,1195000.0,1100000.0,1112500.0,1100000.0,1050000.0,999999.0,1050000.0,1075000.0,1095000.0,999000.0,999000.0,995000.0,959000.0,985000.0,980000.0,929000.0,939500.0,959000.0,995000.0,999000.0,995000.0,995000.0,999000.0,1047000.0,1047000.0,999000.0,1000000.0,1030000.0,999000.0,1050000.0,1150000.0,1200000.0,1200000.0,1200000.0,1175000.0,1182500.0,1234000.0,1275000.0,1295000.0,1245000.0,1289500.0,1450000.0,1495000.0,1500000.0,1625000.0,1675000.0,1650000.0,1600000.0,1647000.0,1625000.0,1695000.0,1650000.0,1599000.0,1685000.0,1695000.0,1795000.0,1899500.0,1900000.0,1889000.0,1795000.0,1795000.0,1895000.0,1895000.0,1900000.0,1942500.0,1975000.0,1975000.0,2000000.0,2150000.0,2100000.0,1999999.5,1995000.0,2100000.0,2095000.0,2000000.0,2100000.0,2100000.0,2175000.0,2100000.0,2100000.0,2250000.0,2195000.0,2195000.0,2000000.0,2190000.0,2150000.0,2180000.0,2150000.0,2100000.0,2000000.0,2000000.0,2149000.0,2250000.0,2135000.0,1999000.0
All Upper Manhattan,Manhattan,submarket,539000.0,535000.0,525000.0,525000.0,499000.0,499000.0,499000.0,499000.0,490000.0,476250.0,479000.0,480200.0,475000.0,460000.0,460000.0,469000.0,456000.0,450000.0,435000.0,439000.0,430000.0,436000.0,440000.0,440000.0,449000.0,449000.0,440000.0,439000.0,435000.0,439000.0,442000.0,450000.0,450000.0,459000.0,460000.0,469500.0,450000.0,437000.0,429000.0,450000.0,476000.0,475000.0,452500.0,469000.0,445000.0,485000.0,499000.0,502499.5,540500.0,526500.0,546000.0,549000.0,525000.0,525000.0,528500.0,539000.0,560000.0,550000.0,550000.0,587000.0,550000.0,549000.0,579000.0,598250.0,640000.0,615000.0,610000.0,608634.0,649000.0,650000.0,695750.0,699000.0,650000.0,690000.0,699000.0,725000.0,710000.0,720000.0,725000.0,725000.0,731500.0,725000.0,750000.0,775000.0,799000.0,799000.0,780000.0,795000.0,775000.0,750000.0,750000.0,729000.0,719000.0,739000.0,699000.0,709000.0,739500.0,775000.0
All Upper West Side,Manhattan,submarket,1050000.0,1060000.0,1090000.0,999000.0,1032500.0,998875.0,999000.0,996500.0,995000.0,995000.0,999000.0,995000.0,995000.0,999999.5,1020000.0,1075000.0,1075000.0,1095000.0,1015000.0,1025000.0,979000.0,999000.0,1095000.0,1095000.0,1050000.0,1075000.0,1030000.0,995000.0,995000.0,998000.0,999000.0,1050000.0,1044500.0,1059000.0,1092500.0,1100000.0,1100000.0,1095000.0,1050000.0,1060000.0,1100000.0,1150000.0,1100000.0,999500.0,1075000.0,1147500.0,1175000.0,1195000.0,1295000.0,1290000.0,1300000.0,1450000.0,1399000.0,1300000.0,1289000.0,1299000.0,1350000.0,1495000.0,1620000.0,1725000.0,1585000.0,1680000.0,1750000.0,1750000.0,1750000.0,1895000.0,1895000.0,1965000.0,1995000.0,1895000.0,1895000.0,2120000.0,2100000.0,1995000.0,1975000.0,1999000.0,1995000.0,1995000.0,1995000.0,2000000.0,1950000.0,1850000.0,1947500.0,1995000.0,1899500.0,1995000.0,1946250.0,1995000.0,1950000.0,1950000.0,1900000.0,1945000.0,1899000.0,1895000.0,1980000.0,1995000.0,1960000.0,1925000.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,469000.0,479000.0,487000.0,449000.0,452500.0,450000.0,449000.0,445000.0,445000.0,452500.0,465000.0,469000.0,467000.0,469000.0,475000.0,475000.0,475000.0,471500.0,449500.0,450000.0,444960.0,439000.0,454500.0,469855.0,494000.0,485000.0,485000.0,449000.0,484625.0,495000.0,495000.0,492000.0,450000.0,500000.0,499500.0,524500.0,529000.0,564000.0,529000.0,579000.0,524500.0,519000.0,444000.0,472500.0,491000.0,499000.0,444500.0,450000.0,444000.0,440000.0,515000.0,515000.0,515000.0,525000.0,529000.0,537000.0,547000.0,529000.0,539500.0,544500.0,569000.0,569000.0,607000.0,699500.0,754500.0,767500.0,760000.0,676510.0,689000.0,732000.0,654500.0,659000.0,673510.0,678020.0,699000.0,710515.0,875000.0,865000.0,896250.0,877000.0,896250.0,975000.0,889000.0,1099500.0,1099000.0,980000.0,775000.0,725000.0,735000.0,704500.0,699000.0,712320.0,710000.0,869000.0,1091000.0,1162500.0,1175000.0,1129000.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925000.0,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,457000.0,434000.0,449000.0,465000.0,449000.0,412000.0,219500.0,210000.0,359000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,552000.0,565000.0,568000.0,568000.0,599000.0,599000.0,578500.0,,378500.0,625000.0,625000.0,575000.0,574000.0,570000.0,570000.0,568000.0,570000.0,570000.0,568000.0,568000.0,568000.0,571000.0,574000.0,608500.0,725000.0,,,,,,,,619000.0,,606000.0,624000.0,543500.0,,390000.0,390000.0,390000.0,444500.0,,,,,788000.0,833500.0,769000.0,745000.0,750000.0,755000.0,898000.0,898000.0,898000.0,898000.0,908000.0,908000.0,945000.0,946900.0,946900.0,918500.0,941500.0,938000.0,1150000.0,1100000.0,1099000.0,1100000.0,1098000.0,998000.0,1190000.0,1074000.0,899000.0,899999.0,968800.0,995000.0
Battery Park City,Manhattan,neighborhood,875000.0,944000.0,925000.0,932000.0,900000.0,1010000.0,934500.0,775000.0,775000.0,952000.0,899500.0,850000.0,870000.0,870000.0,839500.0,912000.0,899000.0,860000.0,830000.0,870000.0,912500.0,899000.0,799000.0,850000.0,849500.0,850000.0,825000.0,849000.0,807000.0,820000.0,770000.0,770000.0,799000.0,770000.0,804500.0,799000.0,835000.0,820000.0,814000.0,795000.0,782779.5,820000.0,1130000.0,1150000.0,1139500.0,1149000.0,1149000.0,999000.0,1150000.0,1200000.0,1050000.0,960000.0,999000.0,1089497.5,1150000.0,997000.0,995000.0,1262250.0,1537500.0,1978200.0,1964100.0,2422500.0,2040000.0,1512500.0,1605000.0,1537500.0,1500000.0,1565000.0,1735000.0,1940000.0,1744500.0,1697000.0,1820000.0,1699000.0,1965000.0,1922500.0,1980000.0,1965000.0,1898000.0,1924000.0,1898000.0,1745000.0,1837500.0,2050000.0,2050000.0,1990000.0,1825000.0,1810000.0,1694500.0,1419000.0,1650000.0,1524500.0,1650000.0,1599000.0,1450000.0,1364500.0,1395000.0,1635000.0
