Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
All Downtown,Manhattan,submarket,900000.0,849000.0,992500.0,992793.0,917500.0,797500.0,1122500.0,990000.0,942000.0,965000.0,840000.0,952500.0,995000.0,814000.0,961024.0,850000.0,852665.0,821320.0,982550.0,870000.0,845000.0,836000.0,840000.0,915000.0,900000.0,829936.5,940000.0,955000.0,950000.0,960000.0,961250.0,1024850.0,850000.0,850250.0,831223.5,993000.0,850338.0,850000.0,1100000.0,990000.0,931250.0,903121.0,1032500.0,865000.0,952000.0,950000.0,1030000.0,1150000.0,1247356.0,995000.0,982200.0,950000.0,1050000.0,1200000.0,1161652.5,1046210.0,1075000.0,1146640.0,1324362.5,1260000.0,1425275.0,1070000.0,1050000.0,1100000.0,1138000.0,1262500.0,1400000.0,1050000.0,1357500.0,1530487.5,1450000.0,1667500.0,1747500.0,1375000.0,1062500.0,1350000.0,1495913.5,1350000.0,1510400.0,1299500.0,1552500.0,1250000.0,1289500.0,1405185.0,1425550.0,1499000.0,1615000.0,1745000.0,1341064.0,1747500.0,1434514.5,1400000.0,1160000.0,1235000.0,1303055.0,1350000.0,1325000.0,1624108.0
All Midtown,Manhattan,submarket,685000.0,637500.0,600000.0,690000.0,732626.5,600000.0,748500.0,753505.0,718887.5,730000.0,743000.0,749206.5,700000.0,715000.0,588500.0,760000.0,763687.0,750000.0,712775.0,752250.0,710183.0,641748.5,573750.0,705000.0,766745.0,703550.0,650000.0,779000.0,710000.0,732570.0,814800.0,650000.0,675000.0,778000.0,698000.0,800250.0,692500.0,725000.0,660000.0,702500.0,845147.0,798000.0,779500.0,770250.0,755000.0,729000.0,711000.0,785000.0,717750.0,730000.0,690222.0,725000.0,772500.0,796000.0,775000.0,740000.0,747500.0,770000.0,800500.0,859750.0,862756.0,800000.0,950998.5,885484.0,865000.0,815000.0,892500.0,825000.0,977500.0,879000.0,1132494.5,976702.0,1137500.0,860000.0,925000.0,825000.0,980000.0,887500.0,825000.0,802500.0,877659.0,899000.0,812500.0,925000.0,910000.0,926500.0,855000.0,960000.0,1000000.0,965000.0,1225000.0,892400.0,900000.0,800000.0,985000.0,860000.0,859000.0,950000.0
All Upper East Side,Manhattan,submarket,1004500.0,831421.0,995000.0,875000.0,1200000.0,827391.0,993750.0,975000.0,852500.0,832500.0,847436.5,927500.0,930000.0,760000.0,1162000.0,935000.0,832500.0,1050000.0,985000.0,937500.0,870000.0,847000.0,862500.0,745000.0,927500.0,840507.5,1057500.0,915000.0,829500.0,1100000.0,970000.0,947500.0,855000.0,837500.0,825000.0,975000.0,761513.0,829000.0,900000.0,899000.0,875000.0,965000.0,950000.0,869500.0,900000.0,832500.0,1090000.0,1300000.0,1230000.0,1035000.0,850000.0,950000.0,970000.0,955000.0,1165000.0,919734.0,1012000.0,999125.0,925000.0,1022250.0,1100000.0,902500.0,1200000.0,990000.0,1070000.0,1216808.0,1082500.0,991351.0,940000.0,1125000.0,1050000.0,995000.0,960000.0,1505000.0,1150000.0,1212500.0,1207500.0,1222500.0,1147500.0,916425.0,999000.0,1176078.0,1100000.0,893000.0,1100000.0,880000.0,1221800.0,990180.5,1012000.0,1350000.0,1175000.0,1215954.0,1246340.0,1170000.0,920712.5,1300000.0,1195000.0,1100000.0
All Upper Manhattan,Manhattan,submarket,366022.0,393496.0,350139.5,333606.0,338750.0,415740.0,433000.0,403000.0,468200.0,436527.0,410000.0,428762.0,435000.0,397000.0,435000.0,347500.0,422813.5,470860.0,440012.0,450000.0,459409.0,417500.0,400000.0,298800.0,404000.0,430000.0,417500.0,382500.0,451322.5,459213.0,520000.0,432260.0,390000.0,430000.0,537500.0,460000.0,415000.0,407500.0,440000.0,473802.0,470000.0,460424.5,440000.0,412698.0,425000.0,405000.0,430000.0,385000.0,375000.0,405000.0,497367.0,439750.0,451625.0,480000.0,534024.0,470000.0,475600.0,528105.5,522153.5,504986.0,565128.0,499000.0,570220.0,523345.0,510000.0,500408.0,552000.0,510500.0,500000.0,582500.0,503000.0,535000.0,580000.0,539881.0,423155.0,544971.0,572500.0,622500.0,566045.0,612975.0,600000.0,599000.0,610000.0,625000.0,613018.0,640000.0,577500.0,540000.0,625000.0,580000.0,590000.0,672000.0,667500.0,575311.0,612975.0,605000.0,630000.0,570000.0
All Upper West Side,Manhattan,submarket,860421.0,875000.0,747250.0,803603.5,900000.0,769750.0,985000.0,975000.0,825000.0,945000.0,955000.0,975000.0,861250.0,850683.0,805000.0,810000.0,832500.0,952500.0,901605.0,970000.0,982500.0,990000.0,999000.0,780000.0,785000.0,1050000.0,880000.0,900000.0,848750.0,975000.0,952415.0,880000.0,900000.0,865512.0,950000.0,970000.0,818000.0,815000.0,932500.0,935000.0,855854.0,955000.0,999000.0,980000.0,970000.0,910000.0,990000.0,925000.0,1010000.0,927500.0,937500.0,1067500.0,932500.0,1050000.0,961558.0,992647.0,1130000.0,887500.0,917500.0,950500.0,950000.0,1118000.0,788250.0,925050.0,1052000.0,1232500.0,1146265.5,1147265.5,1280000.0,1250460.0,1371068.5,1270000.0,1075000.0,995000.0,1137500.0,979089.0,1100000.0,1021990.0,1205000.0,1225000.0,931912.5,999000.0,1139773.5,1300000.0,1187500.0,1100000.0,975000.0,1132000.0,1252500.0,1300000.0,1227500.0,1187500.0,1590000.0,1369696.5,1575000.0,1400000.0,987500.0,1250000.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,402000.0,605237.5,380000.0,415000.0,392660.0,400000.0,380000.0,555018.5,425880.0,362500.0,334600.0,465000.0,525000.0,357500.0,364500.0,397500.0,346875.0,382333.0,592500.0,560000.0,517000.0,485353.0,347500.0,439949.0,385000.0,486720.0,410670.0,454500.0,400500.0,495000.0,449000.0,463290.0,510000.0,591500.0,325000.0,558500.0,365500.0,441500.0,505000.0,536000.0,538000.0,456300.0,385320.0,540000.0,600000.0,495000.0,437022.5,447500.0,537500.0,550000.0,510750.0,544763.0,437500.0,570000.0,537750.0,580000.0,577500.0,612500.0,578000.0,534581.0,787500.0,402293.0,582750.0,495000.0,433992.0,526500.0,700000.0,643500.0,605859.0,603300.0,550000.0,575311.0,623020.5,675500.0,500000.0,580246.0,461480.0,540000.0,750000.0,567500.0,635000.0,845147.0,800000.0,498430.0,926112.5,525000.0,810000.0,804417.0,700000.0,705000.0,800000.0,722500.0,649750.0,560000.0,590000.0,613495.0,932000.0,975000.0
Auburndale,Queens,neighborhood,,,,,,560000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,670000.0,353000.0,540000.0,305000.0,,535000.0,,,645000.0,,,377208.0,590000.0,,550000.0,570000.0,,523000.0,540000.0,,480000.0,510000.0,,,,,,,,530000.0,567500.0,648000.0,628500.0,,592290.5,610000.0,,,486720.0,,,586000.0,398220.0,524750.0,591500.0,600000.0,,580000.0,700000.0,,539672.0,,757500.0,545000.0,760000.0,,500000.0,745000.0,,551250.0,825000.0,850000.0,505073.5,732500.0,,335000.0,,659000.0,766500.0,750000.0,,625000.0,992000.0,877000.0,763000.0,829000.0,,499950.0,,,950000.0,,,995000.0,724000.0,,1105000.0,,826819.0,,,,819500.0,,950000.0,910000.0,444000.0,
Battery Park City,Manhattan,neighborhood,,,,2031917.0,1476462.5,,,1165000.0,1247356.0,1400000.0,,1580000.0,520000.0,,962446.0,495895.0,587486.5,695000.0,936790.0,510580.0,911333.0,1485000.0,,,735000.0,868482.5,770500.0,650748.5,1056579.0,760000.0,1100000.0,1125000.0,675000.0,681609.0,791241.0,700000.0,804417.0,766570.0,656771.0,834965.0,750000.0,670000.0,752500.0,759617.0,962500.0,680000.0,753774.0,592497.0,1300000.0,860285.5,998750.0,1450000.0,742000.0,937500.0,770000.0,990000.0,,770000.0,990000.0,756000.0,,,712500.0,655000.0,1125000.0,840000.0,1792120.0,860256.0,2038615.0,2325000.0,1762500.0,2253168.0,2315000.0,,1989837.5,2199419.5,1200000.0,654000.0,1818000.0,1705000.0,1135050.0,970000.0,890000.0,772500.0,1067500.0,1049490.0,785000.0,,1520731.0,1105000.0,1210000.0,1080000.0,955000.0,,1392500.0,1580000.0,1085000.0,
